Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
13.02.2025 16:29:33,13.02.2025 16:40:00,XAUUSD.STD,Sell,0.1,2915.15,2907.65,2909.15,2915.15,-600,-60,00:00:10:27,-1.79%
13.02.2025 16:10:27,13.02.2025 16:11:54,XAUUSD.STD,Buy,0.1,2905,2912.5,2911,2912.59,159,15.9,00:00:01:27,0.48%
13.02.2025 15:49:03,13.02.2025 15:52:43,XAUUSD.STD,Sell,0.1,2916.07,2908.57,2909.84,2908.51,133,13.3,00:00:03:40,0.40%
13.02.2025 15:21:19,13.02.2025 15:30:32,XAUUSD.STD,Sell,0.1,2918.55,2911.05,2912.55,2911.04,151,15.1,00:00:09:13,0.46%
13.02.2025 14:38:08,13.02.2025 15:00:48,XAUUSD.STD,Buy,0.1,2914.48,2921.98,2920.48,2914.48,-600,-60,00:00:22:40,-1.78%
12.02.2025 16:51:25,12.02.2025 17:04:09,XAUUSD.STD,Sell,0.1,2896.87,2889.37,2890.87,2889.3,157,15.7,00:00:12:44,0.47%
12.02.2025 15:45:54,12.02.2025 15:48:10,XAUUSD.STD,Buy,0.1,2868.09,2875.59,2874.02,2875.78,176,17.6,00:00:02:16,0.53%
12.02.2025 15:30:01,12.02.2025 15:30:04,XAUUSD.STD,Sell,0.1,2879.18,2871.68,2873.18,2870.58,260,26,00:00:00:03,0.79%
12.02.2025 15:18:04,12.02.2025 15:19:40,XAUUSD.STD,Sell,0.1,2882.34,2874.84,2876.34,2874.56,178,17.8,00:00:01:36,0.54%
12.02.2025 13:11:15,12.02.2025 15:14:08,XAUUSD.STD,Sell,0.1,2886.24,2878.74,2880.37,2878.71,166,16.6,00:02:02:53,0.51%
11.02.2025 16:49:30,11.02.2025 16:52:49,XAUUSD.STD,Sell,0.1,2906.08,2898.58,2900.13,2898.55,158,15.8,00:00:03:19,0.49%
11.02.2025 16:29:57,11.02.2025 16:30:35,XAUUSD.STD,Buy,0.1,2895.08,2902.58,2901.08,2902.66,158,15.8,00:00:00:38,0.49%
11.02.2025 15:46:47,11.02.2025 16:06:27,XAUUSD.STD,Buy,0.1,2891.79,2899.29,2897.79,2899.47,168,16.8,00:00:19:40,0.52%
11.02.2025 15:36:54,11.02.2025 15:37:34,XAUUSD.STD,Buy,0.1,2886.3,2893.8,2892.3,2893.8,150,15,00:00:00:40,0.47%
11.02.2025 15:01:14,11.02.2025 15:02:38,XAUUSD.STD,Sell,0.1,2892.68,2885.18,2886.68,2885.14,154,15.4,00:00:01:24,0.48%
10.02.2025 16:37:09,10.02.2025 16:52:13,XAUUSD.STD,Sell,0.1,2907.94,2900.44,2901.94,2907.98,-604,-60.4,00:00:15:04,-1.86%
10.02.2025 16:19:39,10.02.2025 16:21:23,XAUUSD.STD,Buy,0.1,2897.14,2904.64,2903.14,2904.7,156,15.6,00:00:01:44,0.48%
10.02.2025 15:40:27,10.02.2025 16:02:46,XAUUSD.STD,Sell,0.1,2906.78,2899.28,2900.76,2899.27,149,14.9,00:00:22:19,0.46%
10.02.2025 14:52:07,10.02.2025 15:19:25,XAUUSD.STD,Buy,0.1,2900.48,2907.98,2906.52,2908.02,150,15,00:00:27:18,0.47%
10.02.2025 13:35:11,10.02.2025 13:39:07,XAUUSD.STD,Buy,0.1,2896.65,2904.15,2902.68,2904.15,147,14.7,00:00:03:56,0.46%
07.02.2025 16:37:34,07.02.2025 16:39:01,XAUUSD.STD,Buy,0.1,2870,2877.5,2876,2877.54,154,15.4,00:00:01:27,0.48%
07.02.2025 16:18:26,07.02.2025 16:19:21,XAUUSD.STD,Buy,0.1,2861.65,2869.15,2867.72,2869.16,144,14.4,00:00:00:55,0.46%
07.02.2025 15:51:57,07.02.2025 16:02:41,XAUUSD.STD,Sell,0.1,2866.35,2858.85,2860.31,2858.84,147,14.7,00:00:10:44,0.47%
07.02.2025 15:29:58,07.02.2025 15:30:02,XAUUSD.STD,Buy,0.1,2858.59,2866.09,2864.41,2864.88,47,4.7,00:00:00:04,0.15%
06.02.2025 16:40:58,06.02.2025 16:47:12,XAUUSD.STD,Sell,0.1,2860.87,2853.37,2854.8,2853.33,147,14.7,00:00:06:14,0.47%
06.02.2025 16:18:43,06.02.2025 16:20:35,XAUUSD.STD,Buy,0.1,2851.34,2858.84,2857.34,2858.87,153,15.3,00:00:01:52,0.49%
06.02.2025 14:57:54,06.02.2025 15:03:01,XAUUSD.STD,Sell,0.1,2870.21,2862.71,2864.21,2862.62,159,15.9,00:00:05:07,0.51%
06.02.2025 13:51:20,06.02.2025 14:04:12,XAUUSD.STD,Buy,0.1,2861.99,2869.49,2867.99,2869.51,152,15.2,00:00:12:52,0.49%
06.02.2025 13:36:13,06.02.2025 13:38:00,XAUUSD.STD,Buy,0.1,2857.04,2864.54,2863.04,2864.55,151,15.1,00:00:01:47,0.49%
05.02.2025 16:47:46,05.02.2025 16:49:12,XAUUSD.STD,Buy,0.1,2863.07,2870.57,2869.07,2870.75,168,16.8,00:00:01:26,0.55%
05.02.2025 16:31:02,05.02.2025 16:33:18,XAUUSD.STD,Buy,0.1,2861.5,2869,2867.5,2869.02,152,15.2,00:00:02:16,0.50%
05.02.2025 13:11:36,05.02.2025 15:33:07,XAUUSD.STD,Sell,0.1,2871.09,2863.59,2865.09,2863.58,151,15.1,00:02:21:31,0.50%
04.02.2025 16:33:08,04.02.2025 17:00:01,XAUUSD.STD,Buy,0.1,2834,2841.5,2840,2842.21,221,22.1,00:00:26:53,0.74%
04.02.2025 15:51:26,04.02.2025 15:52:20,XAUUSD.STD,Sell,0.1,2838.5,2831,2832.5,2831,150,15,00:00:00:54,0.50%
04.02.2025 15:20:04,04.02.2025 15:20:33,XAUUSD.STD,Buy,0.1,2820.55,2828.05,2826.56,2828.05,149,14.9,00:00:00:29,0.50%
04.02.2025 14:53:26,04.02.2025 15:07:54,XAUUSD.STD,Buy,0.1,2816.44,2823.94,2822.44,2824.03,159,15.9,00:00:14:28,0.54%
04.02.2025 14:20:04,04.02.2025 14:36:36,XAUUSD.STD,Buy,0.1,2813.36,2820.86,2819.36,2820.87,151,15.1,00:00:16:32,0.51%
